707918754|Кнопка закрытия|Добавить кнопку закрытия в виде красного крестика на всех окнах|true|2022-04-17|2022-04-17
1930126980|Окно с ошибкой|Сделать окно с появлением ошибки|true|2022-04-17|2022-04-24
1188327886|Кнопки вместо радиокнопок|переделать радиобаттоны в обычные кнопки|true|2022-04-24|2022-04-24
1131249144|Стиль|Сделать единый стиль на все окошки|true|2022-04-24|2022-04-24
1405609859|Меню по правой кнопке|По нажатию на правую кнопку мыши на таблице должно всплывать меню для выбранной таски|true|2022-04-17|2022-04-24
1139994239|Удаление задач|Нужно реализовать возможность удалять задачи, для начала в окне задачи |true|2022-04-17|2022-04-24
294725718|Стиль: наведение|При наведении на строку таблицы, строка должна выделяться|true|2022-04-17|2022-04-24
761927470|Сворачивание в трей|Нужно научиться сворачивать в трей|true|2022-04-17|2022-04-27
1614403160|центральная панель|Изменять содержимое центральной панели|true|2022-05-02|2022-05-08
1920473005|Добавить кнопки меню|Добавить менюбар с несколькими основными кнопками|true|2022-05-08|2022-05-08
1957055701|Просвятим Диму|Расскажем Диме про программу|true|2022-05-12|2022-05-12
1966826178|Просвятить Ярослава|Расскать Ярославу про прогу|true|2022-05-14|2022-05-14
876196031|Кнопка закрытия|Сделать изменяющуюся при наведении кнопку закрытия|true|2022-04-24|2022-05-22
570981560|Изменяемые размеры|Сделать изменяемые размеры приложения|true|2022-04-24|2022-05-24
1315657890|Регулярка для полей ввода|При сохранении нужно проверять вводимый текст на наличие символов разделения в csv|true|2022-05-25|2022-09-27
